Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
Lesotho,4.07900002193451,0.4643678117275237,1.15378129655838,0.08078,0.372582824807167,0.13609431797385224,0.112283660004139,2017.25
Liberia,3.839199998474122,0.0892603586096764,0.7890655873222352,0.3027156393594742,0.332934236486435,0.237959977054596,0.0425576498143673,2017.0
Libya,5.597000019073485,1.065826612869262,1.215988866020202,0.5946018039398193,0.4402266460227966,0.1509787332906724,0.12124604203605652,2017.0
Lithuania,5.929799990081788,1.233202469573974,1.367415221321106,0.708193988040924,0.25558835698795324,0.025164931335270403,0.01767512857061624,2017.0
Luxembourg,6.935999983215332,1.637674719558716,1.3432407331695562,0.9034898990364073,0.5838315782127379,0.2458461963748932,0.33742088480377197,2017.0
Macedonia,5.122000047683715,0.99034698428154,1.0578932534885401,0.679694546122551,0.33278899466991424,0.22135524091959,0.05900444838911295,2016.5
Madagascar,3.745400010681152,0.2659177386341094,0.7732360744781495,0.43410466176033025,0.1773753530845642,0.1932925060949326,0.06270639509916306,2017.0
Malawi,3.883000005722046,0.1427144076595306,0.43438176628875735,0.3270699166793824,0.4571509307556152,0.271226093952179,0.07742433080148696,2017.0
Malaysia,5.904000022125244,1.209899083953858,1.132825206848144,0.6926768855285644,0.43736299649238575,0.3466197859268188,0.06888414162540436,2017.0
Mali,4.219000011444092,0.360968098766327,1.1036126796417238,0.1997331348514556,0.3329247486610412,0.1747948397865296,0.09459204931068421,2017.0
Malta,6.533999990081787,1.285699967712402,1.386846332992554,0.8790608473510743,0.5902714103393554,0.4811241150169372,0.15149321377754218,2017.0
Mauritania,4.354999963378906,0.5686874577484129,1.07890616607666,0.342295855928421,0.132043608604908,0.1775460048408508,0.1344234009332656,2017.0
Mauritius,5.7066000373840335,1.11014510938263,1.148144198066712,0.6982794924049378,0.519071465227127,0.3135767501735688,0.05588431103634835,2017.0
Mexico,6.725200013732911,1.079360763572692,1.0829944319458,0.7715697995414734,0.4367260016727448,0.10441608655977239,0.139488822921753,2017.0
Moldova,5.758599964141846,0.6714241260528564,1.145485114212036,0.6179630401802062,0.2595858097696304,0.1940518252811432,0.009054257230520241,2017.0
